  [2022-02-01 10:43:30,075], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentController.sendNotificationBeforeAppointmentStart :: 30065 ms
  [2022-02-01 10:44:00,016], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentController.sendNotificationBeforeAppointmentStart
82799e140cd9a4e7 82799e140cd9a4e7 [2022-02-01 10:44:00,020], , [scheduling-1], Booking-Appointment, INFO  AppointmentController sendNotificationBeforeAppointmentStart | Request received to send Notification Before Appointment Start
  [2022-02-01 10:44:00,025], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:44:00,037], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentDtlsRepository.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:44:30,070], , [scheduling-1], Booking-Appointment, WARN  SqlExceptionHelper logExceptions | SQL Error: 0, SQLState: 08001
  [2022-02-01 10:44:30,093], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | HikariPool-1 - Connection is not available, request timed out after 30005ms.
  [2022-02-01 10:44:30,117], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | The connection attempt failed.
  [2022-02-01 10:44:30,143], , [scheduling-1], Booking-Appointment, ERROR AppointmentServiceImpl sendNotificationBeforeAppointmentStart | Exception while getting appointments to send notifiaction before started
  [2022-02-01 10:44:30,228], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:44:30,228], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart :: 30203 ms
  [2022-02-01 10:44:30,229], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentController.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:44:30,230], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentController.sendNotificationBeforeAppointmentStart :: 30214 ms
  [2022-02-01 10:45:00,007], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentController.sendNotificationBeforeAppointmentStart
4482ab8d22127198 4482ab8d22127198 [2022-02-01 10:45:00,009], , [scheduling-1], Booking-Appointment, INFO  AppointmentController sendNotificationBeforeAppointmentStart | Request received to send Notification Before Appointment Start
  [2022-02-01 10:45:00,011], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:45:00,012], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentDtlsRepository.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:45:30,021], , [scheduling-1], Booking-Appointment, WARN  SqlExceptionHelper logExceptions | SQL Error: 0, SQLState: 08001
  [2022-02-01 10:45:30,025], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | HikariPool-1 - Connection is not available, request timed out after 30003ms.
  [2022-02-01 10:45:30,026], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | The connection attempt failed.
  [2022-02-01 10:45:30,030], , [scheduling-1], Booking-Appointment, ERROR AppointmentServiceImpl sendNotificationBeforeAppointmentStart | Exception while getting appointments to send notifiaction before started
  [2022-02-01 10:45:30,041], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:45:30,042], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart :: 30031 ms
  [2022-02-01 10:45:30,043], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentController.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:45:30,046], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentController.sendNotificationBeforeAppointmentStart :: 30039 ms
  [2022-02-01 10:46:00,007], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentController.sendNotificationBeforeAppointmentStart
76db1a556f289b0a 76db1a556f289b0a [2022-02-01 10:46:00,011], , [scheduling-1], Booking-Appointment, INFO  AppointmentController sendNotificationBeforeAppointmentStart | Request received to send Notification Before Appointment Start
  [2022-02-01 10:46:00,013], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:46:00,014], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentDtlsRepository.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:46:30,029], , [scheduling-1], Booking-Appointment, WARN  SqlExceptionHelper logExceptions | SQL Error: 0, SQLState: 08001
  [2022-02-01 10:46:30,031], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | HikariPool-1 - Connection is not available, request timed out after 30011ms.
  [2022-02-01 10:46:30,033], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | The connection attempt failed.
  [2022-02-01 10:46:30,036], , [scheduling-1], Booking-Appointment, ERROR AppointmentServiceImpl sendNotificationBeforeAppointmentStart | Exception while getting appointments to send notifiaction before started
  [2022-02-01 10:46:30,049], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:46:30,051], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart :: 30039 ms
  [2022-02-01 10:46:30,052], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentController.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:46:30,053], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentController.sendNotificationBeforeAppointmentStart :: 30046 ms
  [2022-02-01 10:47:00,008], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentController.sendNotificationBeforeAppointmentStart
e26625e0489adadb e26625e0489adadb [2022-02-01 10:47:00,012], , [scheduling-1], Booking-Appointment, INFO  AppointmentController sendNotificationBeforeAppointmentStart | Request received to send Notification Before Appointment Start
  [2022-02-01 10:47:00,015], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:47:00,017], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentDtlsRepository.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:47:30,022], , [scheduling-1], Booking-Appointment, WARN  SqlExceptionHelper logExceptions | SQL Error: 0, SQLState: 08001
  [2022-02-01 10:47:30,026], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | HikariPool-1 - Connection is not available, request timed out after 30000ms.
  [2022-02-01 10:47:30,027], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | The connection attempt failed.
  [2022-02-01 10:47:30,029], , [scheduling-1], Booking-Appointment, ERROR AppointmentServiceImpl sendNotificationBeforeAppointmentStart | Exception while getting appointments to send notifiaction before started
  [2022-02-01 10:47:30,042], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:47:30,045], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart :: 30030 ms
  [2022-02-01 10:47:30,046], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentController.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:47:30,048], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentController.sendNotificationBeforeAppointmentStart :: 30040 ms
  [2022-02-01 10:48:00,004], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentController.sendNotificationBeforeAppointmentStart
8ac4fc8c2f250697 8ac4fc8c2f250697 [2022-02-01 10:48:00,018], , [scheduling-1], Booking-Appointment, INFO  AppointmentController sendNotificationBeforeAppointmentStart | Request received to send Notification Before Appointment Start
  [2022-02-01 10:48:00,024], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:48:00,026], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentDtlsRepository.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:48:30,033], , [scheduling-1], Booking-Appointment, WARN  SqlExceptionHelper logExceptions | SQL Error: 0, SQLState: 08001
  [2022-02-01 10:48:30,037], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | HikariPool-1 - Connection is not available, request timed out after 30001ms.
  [2022-02-01 10:48:30,039], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | The connection attempt failed.
  [2022-02-01 10:48:30,042], , [scheduling-1], Booking-Appointment, ERROR AppointmentServiceImpl sendNotificationBeforeAppointmentStart | Exception while getting appointments to send notifiaction before started
  [2022-02-01 10:48:30,059], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:48:30,060], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart :: 30037 ms
  [2022-02-01 10:48:30,063], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentController.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:48:30,064], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentController.sendNotificationBeforeAppointmentStart :: 30060 ms
  [2022-02-01 10:49:00,013], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentController.sendNotificationBeforeAppointmentStart
c0998d3f40c5a2ab c0998d3f40c5a2ab [2022-02-01 10:49:00,016], , [scheduling-1], Booking-Appointment, INFO  AppointmentController sendNotificationBeforeAppointmentStart | Request received to send Notification Before Appointment Start
  [2022-02-01 10:49:00,019], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:49:00,021], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentDtlsRepository.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:49:30,036], , [scheduling-1], Booking-Appointment, WARN  SqlExceptionHelper logExceptions | SQL Error: 0, SQLState: 08001
  [2022-02-01 10:49:30,038], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | HikariPool-1 - Connection is not available, request timed out after 30010ms.
  [2022-02-01 10:49:30,039], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | The connection attempt failed.
